course_title,course_organization,course_certificate_type,course_rating,course_review_num,course_time,course_difficulty,course_students_enrolled,course_url,course_skills,course_tools,course_summary,course_description
Structuring Values in Modern China,Not Specified,Professional Certificate,,36,3 Weeks,Advanced,16,https://www.coursera.org/learn/structuring-values-modern-china,Sociology; Economics; Ancient History; Political Sciences; Social Sciences; World History; Research; Social Studies; Cultural Diversity; Culture; Science and Research,Not Specified,Not Specified,Not Specified
東坡詞 (Ci Poetry of Su Dong Po),Not Specified,Professional Certificate,,118,2 Weeks,Advanced,10,https://www.coursera.org/learn/su-dongpo,Literacy; Cultural Sensitivity; Self-Awareness; Aesthetics; Personal Development; Storytelling; Empathy; Writing; Creativity; Emotional Intelligence; Liberal Arts,Not Specified,Not Specified,Not Specified
SUGAR. Software Unificado para la Gestión Arqueológica,Not Specified,Professional Certificate,,0,6 Hours,Advanced,63,https://www.coursera.org/learn/sugar-software-unificado-gestion-arqueologica,Software Installation; Data Entry; Data Integration; Databases; Wealth Management; Data Import/Export; Database Management,Relational Databases; SQL Server Integration Services (SSIS); Geographic Information Systems,Not Specified,Not Specified
Surface Pattern Design by Hand: Repeat Patterns on Paper,Not Specified,Professional Certificate,,0,4 Hours,Advanced,97,https://www.coursera.org/learn/surface-pattern-design-by-hand-repeat-patterns-on-paper,Digital Design; Design Elements And Principles; Creativity; Design,Adobe Photoshop,Not Specified,Not Specified
Surface Pattern Design: Key Principles for Amazing Patterns,Not Specified,Professional Certificate,,0,6 Hours,Advanced,97,https://www.coursera.org/learn/surface-pattern-design-key-principles-for-amazing-patterns,Layout Design; Graphic and Visual Design Software; Creative Design,Not Specified,Not Specified,Not Specified
Sustainable Development - Ideas and Imaginaries,Not Specified,Professional Certificate,,47,- Days,Advanced,4,https://www.coursera.org/learn/sustainable-development-ideas-and-imaginaries,Social Sciences; Social Impact; Culture; Ethical Standards And Conduct; Environmental Policy; Environmental Science; Timelines; Systems Thinking; Sustainable Development; Economics; Political Sciences,Not Specified,Not Specified,Not Specified
唐詩新思路 (Tang Poetry),Not Specified,Professional Certificate,,621,2 Weeks,Advanced,28,https://www.coursera.org/learn/tang-poems,Art History; Liberal Arts; Psychology; Music History; Writing; Ancient History,Not Specified,Not Specified,Not Specified
So You Think You Know Tango?,Not Specified,Professional Certificate,,111,- Weeks,Advanced,4,https://www.coursera.org/learn/tango,Music; Music Theory; Instrumental Music; World Music; Music History; Music Performance; Performing Arts,Not Specified,Not Specified,Not Specified
Teaching the Violin and Viola: Creating a Healthy Foundation,Not Specified,Professional Certificate,,209,1 Weeks,Advanced,24,https://www.coursera.org/learn/teach-violin-lessons,Instrumental Music; Lecturing; Music Theory; Music Performance; Music; Coordination; Classical Music,Not Specified,Not Specified,Not Specified
The Technology of Music Production,Not Specified,Professional Certificate,,84,2 Weeks,Advanced,161,https://www.coursera.org/learn/technology-of-music-production,Creativity; Editing; System Configuration; Digital Signal Processing; Music; File Management; Media Production,Not Specified,Not Specified,Not Specified
