resource_id,role_id,step_number,nama_skill,link_course,tipe,platform
RES0058,R004,5,"React, Javascript",https://www.coursera.org/specializations/javascript-programming-with-react-node-mongodb,Video Course + Certificate,Coursera
RES0059,R004,5,Javascript,https://www.coursera.org/specializations/javascript-security,Video Course + Certificate,Coursera
RES0060,R004,5,"React, Html, Javascript, Git, Sql",https://www.coursera.org/specializations/meta-full-stack-developer,Video Course + Certificate,Coursera
RES0061,R005,1,Git,https://www.coursera.org/learn/introduction-to-web-development-with-html-css-javacript,Video Course + Certificate,Coursera
RES0062,R005,1,Git,https://www.coursera.org/professional-certificates/ibm-frontend-developer,Video Course + Certificate,Coursera
RES0063,R005,1,Git,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,Video Course + Certificate,Coursera
RES0064,R005,2,Kotlin,https://www.dicoding.com/academies/80-memulai-pemrograman-dengan-kotlin,Interactive Course + Certificate,Dicoding
RES0065,R005,2,Java,https://www.edx.org/learn/data-structures/the-georgia-institute-of-technology-data-structures-algorithms-iv-pattern-matching-dijkstras-mst-and-dynamic-programming-algorithms,Video Course + Certificate,edX
RES0066,R005,2,Firebase,https://www.udemy.com/angular-firebase-application/,Video Course + Certificate,Udemy
RES0067,R005,3,Java,https://www.coursera.org/specializations/core-java,Video Course + Certificate,Coursera
RES0068,R005,3,Rest Api,https://www.coursera.org/specializations/apigee-api-gcp,Video Course + Certificate,Coursera
RES0069,R005,3,Java,https://www.coursera.org/specializations/java-object-oriented,Video Course + Certificate,Coursera
RES0070,R005,4,Ui/Ux Design,https://www.coursera.org/learn/fundamentals-of-uiux-design,Video Course + Certificate,Coursera
RES0071,R005,4,Git,https://www.coursera.org/learn/getting-started-with-git-and-github,Video Course + Certificate,Coursera
RES0072,R005,4,Git,https://www.coursera.org/learn/introduction-git-github,Video Course + Certificate,Coursera
RES0073,R005,5,Java,https://www.coursera.org/specializations/intermediate-java-development-spring-databases-deployment,Video Course + Certificate,Coursera
RES0074,R005,5,Java,https://www.coursera.org/specializations/java-fullstack,Video Course + Certificate,Coursera
RES0075,R005,5,Java,https://www.coursera.org/specializations/java-programming,Video Course + Certificate,Coursera
RES0076,R006,1,Python,https://www.coursera.org/learn/ai-code-generation-everyone,Video Course + Certificate,Coursera
RES0077,R006,1,Linux,https://www.coursera.org/learn/asistencia-tecnica,Video Course + Certificate,Coursera
RES0078,R006,1,Python,https://www.coursera.org/learn/bioinformatics,Video Course + Certificate,Coursera
RES0079,R006,2,"Python, Docker, Ci/Cd, Ansible",https://www.coursera.org/specializations/networkautomation,Video Course + Certificate,Coursera
RES0080,R006,2,Linux,https://www.coursera.org/specializations/pearson-linux-foundation-certified-system-administrator-lfcs,Video Course + Certificate,Coursera
RES0081,R006,2,Python,https://www.coursera.org/specializations/python-bash-sql-data-engineering-duke,Video Course + Certificate,Coursera
RES0082,R006,3,Python,https://www.coursera.org/specializations/data-science-python,Video Course + Certificate,Coursera
RES0083,R006,3,Python,https://www.coursera.org/learn/python-for-data-visualization,Video Course + Certificate,Coursera
RES0084,R006,3,Python,https://www.coursera.org/learn/generative-ai-with-llms,Video Course + Certificate,Coursera
RES0085,R006,4,Python,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0086,R006,4,Python,https://www.coursera.org/learn/ai-python-for-beginners,Video Course + Certificate,Coursera
RES0087,R006,4,Python,https://www.coursera.org/learn/aprendiendo-programar-python,Video Course + Certificate,Coursera
RES0088,R006,5,Python,https://www.coursera.org/learn/python-project-for-ai-application-development,Video Course + Certificate,Coursera
RES0089,R006,5,Python,https://www.coursera.org/learn/regression-analysis-simplify-complex-data-relationships,Video Course + Certificate,Coursera
RES0090,R006,5,"Ci/Cd, Terraform",https://www.coursera.org/learn/source-systems-data-ingestion-and-pipelines,Video Course + Certificate,Coursera
RES0091,R007,1,Python,https://www.coursera.org/learn/ai-code-generation-everyone,Video Course + Certificate,Coursera
RES0092,R007,1,Python,https://www.coursera.org/learn/bioinformatics,Video Course + Certificate,Coursera
RES0093,R007,1,Python,https://www.coursera.org/learn/data-analysis-with-python,Video Course + Certificate,Coursera
RES0094,R007,2,Python,https://www.dicoding.com/academies/743-belajar-back-end-pemula-dengan-python,Interactive Course + Certificate,Dicoding
RES0095,R007,2,Python,https://www.dicoding.com/academies/788-belajar-fundamental-back-end-dengan-python,Interactive Course + Certificate,Dicoding
RES0096,R007,2,Python,https://www.dicoding.com/academies/86-memulai-pemrograman-dengan-python,Interactive Course + Certificate,Dicoding
RES0097,R007,3,C#,https://www.coursera.org/specializations/dot-net-fullstack,Video Course + Certificate,Coursera
RES0098,R007,3,Python,https://www.coursera.org/specializations/data-science-python,Video Course + Certificate,Coursera
RES0099,R007,3,Java,https://www.coursera.org/specializations/core-java,Video Course + Certificate,Coursera
RES0100,R007,4,Python,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0101,R007,4,Jira,https://www.coursera.org/learn/agile-atlassian-jira,Video Course + Certificate,Coursera
RES0102,R007,4,Python,https://www.coursera.org/learn/ai-python-for-beginners,Video Course + Certificate,Coursera
RES0103,R007,5,Python,https://www.coursera.org/learn/python-project-for-ai-application-development,Video Course + Certificate,Coursera
RES0104,R007,5,Python,https://www.coursera.org/learn/regression-analysis-simplify-complex-data-relationships,Video Course + Certificate,Coursera
RES0105,R007,5,Ci/Cd,https://www.coursera.org/learn/source-systems-data-ingestion-and-pipelines,Video Course + Certificate,Coursera
RES0106,R008,1,Agile,https://www.coursera.org/learn/agile-project-management,Video Course + Certificate,Coursera
RES0107,R008,1,Sql,https://www.coursera.org/learn/analyze-data,Video Course + Certificate,Coursera
RES0108,R008,1,Stakeholder Management,https://www.coursera.org/learn/applying-project-management,Video Course + Certificate,Coursera
RES0109,R008,2,Sql,https://www.coursera.org/professional-certificates/google-data-analytics-arabic,Video Course + Certificate,Coursera
RES0110,R008,2,Sql,https://www.coursera.org/professional-certificates/google-data-analytics-de,Video Course + Certificate,Coursera
RES0111,R008,2,Sql,https://www.coursera.org/professional-certificates/google-data-analytics-korean,Video Course + Certificate,Coursera
RES0112,R008,3,Sql,https://www.coursera.org/specializations/data-analytics-business,Video Course + Certificate,Coursera
RES0113,R008,3,Sql,https://www.coursera.org/specializations/django,Video Course + Certificate,Coursera
RES0114,R008,3,Agile,https://www.coursera.org/specializations/leverage-data-science-agile-supply-chain,Video Course + Certificate,Coursera
RES0115,R008,4,"Agile, Jira",https://www.coursera.org/learn/agile-atlassian-jira,Video Course + Certificate,Coursera
RES0116,R008,4,Agile,https://www.coursera.org/learn/agile-development-and-scrum,Video Course + Certificate,Coursera
RES0117,R008,4,Stakeholder Management,https://www.coursera.org/learn/business-analysis-fundamentals,Video Course + Certificate,Coursera
RES0118,R008,5,"Sql, Data Modeling",https://www.coursera.org/professional-certificates/google-business-intelligence,Video Course + Certificate,Coursera
RES0119,R008,5,Agile,https://www.coursera.org/professional-certificates/ibm-it-scrum-master,Video Course + Certificate,Coursera
RES0120,R008,5,Agile,https://www.coursera.org/specializations/agile-development,Video Course + Certificate,Coursera
RES0121,R009,1,Python,https://www.coursera.org/learn/ai-code-generation-everyone,Video Course + Certificate,Coursera
RES0122,R009,1,Python,https://www.coursera.org/learn/bioinformatics,Video Course + Certificate,Coursera
RES0123,R009,1,Python,https://www.coursera.org/learn/data-analysis-with-python,Video Course + Certificate,Coursera
RES0124,R009,2,Python,https://www.coursera.org/specializations/python-bash-sql-data-engineering-duke,Video Course + Certificate,Coursera
RES0125,R009,2,Python,https://www.coursera.org/specializations/python-programming-data-science,Video Course + Certificate,Coursera
RES0126,R009,2,Python,https://www.coursera.org/specializations/software-engineering-fundamentals,Video Course + Certificate,Coursera
RES0127,R009,3,C#,https://www.coursera.org/specializations/dot-net-fullstack,Video Course + Certificate,Coursera
RES0128,R009,3,Python,https://www.coursera.org/specializations/data-science-python,Video Course + Certificate,Coursera
RES0129,R009,3,"Unreal Engine, C++",https://www.coursera.org/specializations/cplusplusunrealgamedevelopment,Video Course + Certificate,Coursera
RES0130,R009,4,Python,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0131,R009,4,Python,https://www.coursera.org/learn/ai-python-for-beginners,Video Course + Certificate,Coursera
RES0132,R009,4,Python,https://www.coursera.org/learn/aprendiendo-programar-python,Video Course + Certificate,Coursera
RES0133,R009,5,Python,https://www.coursera.org/learn/python-network-data,Video Course + Certificate,Coursera
RES0134,R009,5,Python,https://www.coursera.org/learn/python-operating-system,Video Course + Certificate,Coursera
RES0135,R009,5,Python,https://www.coursera.org/learn/python-project-for-ai-application-development,Video Course + Certificate,Coursera
RES0136,R010,1,Python,https://www.coursera.org/learn/ai-code-generation-everyone,Video Course + Certificate,Coursera
RES0137,R010,1,Python,https://www.coursera.org/learn/bioinformatics,Video Course + Certificate,Coursera
RES0138,R010,1,Python,https://www.coursera.org/learn/data-analysis-with-python,Video Course + Certificate,Coursera
RES0139,R010,2,Python,https://www.coursera.org/specializations/networkautomation,Video Course + Certificate,Coursera
RES0140,R010,2,Python,https://www.coursera.org/specializations/python-bash-sql-data-engineering-duke,Video Course + Certificate,Coursera
RES0141,R010,2,Python,https://www.coursera.org/specializations/python-programming-data-science,Video Course + Certificate,Coursera
RES0142,R010,3,Python,https://www.coursera.org/specializations/data-science-python,Video Course + Certificate,Coursera
RES0143,R010,3,Python,https://www.coursera.org/learn/python-for-data-visualization,Video Course + Certificate,Coursera
RES0144,R010,3,Sensor Integration,https://www.coursera.org/specializations/embedding-sensors-motors,Video Course + Certificate,Coursera
RES0145,R010,4,Python,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0146,R010,4,Python,https://www.coursera.org/learn/ai-python-for-beginners,Video Course + Certificate,Coursera
RES0147,R010,4,Python,https://www.coursera.org/learn/aprendiendo-programar-python,Video Course + Certificate,Coursera
RES0148,R010,5,Python,https://www.coursera.org/learn/python-network-data,Video Course + Certificate,Coursera
RES0149,R010,5,Python,https://www.coursera.org/learn/python-operating-system,Video Course + Certificate,Coursera
RES0150,R010,5,Python,https://www.coursera.org/learn/python-project-for-ai-application-development,Video Course + Certificate,Coursera
RES0151,R011,1,Python,https://www.coursera.org/learn/ai-code-generation-everyone,Video Course + Certificate,Coursera
RES0152,R011,1,Python,https://www.coursera.org/learn/bioinformatics,Video Course + Certificate,Coursera
RES0153,R011,1,Python,https://www.coursera.org/learn/data-analysis-with-python,Video Course + Certificate,Coursera
RES0154,R011,2,Python,https://www.coursera.org/specializations/statistics-with-python,Video Course + Certificate,Coursera
RES0155,R011,2,Aws,https://www.dicoding.com/academies/251-belajar-dasar-cloud-dan-gen-ai-di-aws,Interactive Course + Certificate,Dicoding
RES0156,R011,2,Python,https://www.dicoding.com/academies/620-belajar-pemrograman-prosedural-dengan-python,Interactive Course + Certificate,Dicoding
RES0157,R011,3,Python,https://www.coursera.org/specializations/data-science-python,Video Course + Certificate,Coursera
RES0158,R011,3,Gcp,https://www.coursera.org/specializations/gcp-data-machine-learning,Video Course + Certificate,Coursera
RES0159,R011,3,Python,https://www.coursera.org/learn/python-for-data-visualization,Video Course + Certificate,Coursera
RES0160,R011,4,Python,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0161,R011,4,Python,https://www.coursera.org/learn/ai-python-for-beginners,Video Course + Certificate,Coursera
RES0162,R011,4,Python,https://www.coursera.org/learn/aprendiendo-programar-python,Video Course + Certificate,Coursera
RES0163,R011,5,Python,https://www.coursera.org/learn/regression-analysis-simplify-complex-data-relationships,Video Course + Certificate,Coursera
RES0164,R011,5,Terraform,https://www.coursera.org/learn/source-systems-data-ingestion-and-pipelines,Video Course + Certificate,Coursera
RES0165,R011,5,Python,https://www.coursera.org/learn/spark-hadoop-snowflake-data-engineering,Video Course + Certificate,Coursera
RES0166,R012,1,Linux,https://www.coursera.org/learn/asistencia-tecnica,Video Course + Certificate,Coursera
RES0167,R012,1,"Linux, Powershell",https://www.coursera.org/learn/os-power-user,Video Course + Certificate,Coursera
RES0168,R012,1,Linux,https://www.coursera.org/professional-certificates/akamai-customer-consulting-and-support,Video Course + Certificate,Coursera
RES0169,R012,2,"Linux, Powershell",https://www.coursera.org/professional-certificates/soporte-de-tecnologias-de-informacion-google,Video Course + Certificate,Coursera
RES0170,R012,2,"Linux, Powershell",https://www.coursera.org/professional-certificates/suporte-em-ti-do-google,Video Course + Certificate,Coursera
RES0171,R012,2,Linux,https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse,Video Course + Certificate,Coursera
RES0172,R012,3,Linux,https://www.coursera.org/professional-certificates/ibm-z-mainframe,Video Course + Certificate,Coursera
RES0173,R012,3,Linux,https://www.dicoding.com/academies/423-menjadi-linux-system-administrator,Interactive Course + Certificate,Dicoding
RES0174,R012,4,Linux,https://www.coursera.org/learn/hands-on-introduction-to-linux-commands-and-shell-scripting,Video Course + Certificate,Coursera
RES0175,R012,4,Linux,https://www.coursera.org/learn/introduction-to-version-control,Video Course + Certificate,Coursera
RES0176,R012,4,Linux,https://www.coursera.org/learn/linux-and-sql,Video Course + Certificate,Coursera
RES0177,R012,5,Virtualization,https://www.coursera.org/learn/sdv101,Video Course + Certificate,Coursera
RES0178,R012,5,Linux,https://www.coursera.org/learn/technical-support-fundamentals,Video Course + Certificate,Coursera
RES0179,R012,5,Linux,https://www.coursera.org/professional-certificates/ibm-backend-development,Video Course + Certificate,Coursera
RES0180,R013,1,Dns,https://www.coursera.org/learn/computer-networking,Video Course + Certificate,Coursera
RES0181,R013,1,Network Security,https://www.coursera.org/learn/it-security,Video Course + Certificate,Coursera
RES0182,R013,1,Network Security,https://www.coursera.org/professional-certificates/microsoft-cybersecurity-analyst,Video Course + Certificate,Coursera
RES0183,R013,2,Network Security,https://www.coursera.org/specializations/cbrops,Video Course + Certificate,Coursera
RES0184,R013,2,Network Security,https://www.coursera.org/specializations/certified-in-cybersecurity,Video Course + Certificate,Coursera
RES0185,R013,2,Network Security,https://www.coursera.org/specializations/comptia-aplus-cyber,Video Course + Certificate,Coursera
RES0186,R013,4,Network Security,https://www.coursera.org/learn/information-technology-and-aws,Video Course + Certificate,Coursera
RES0187,R013,4,Network Security,https://www.coursera.org/learn/networks-and-network-security,Video Course + Certificate,Coursera
RES0188,R013,5,Network Security,https://www.coursera.org/specializations/fortinet-network-security,Video Course + Certificate,Coursera
RES0189,R013,5,Network Security,https://www.coursera.org/specializations/google-network-security,Video Course + Certificate,Coursera
RES0190,R014,1,"Project Management, Agile, Scrum",https://www.coursera.org/learn/agile-project-management,Video Course + Certificate,Coursera
RES0191,R014,1,Project Management,https://www.coursera.org/learn/applying-project-management,Video Course + Certificate,Coursera
RES0192,R014,1,Project Management,https://www.coursera.org/learn/construction-project-management,Video Course + Certificate,Coursera
RES0193,R014,2,"Project Management, Risk Management",https://www.coursera.org/professional-certificates/ibm-project-manager,Video Course + Certificate,Coursera
RES0194,R014,2,Project Management,https://www.coursera.org/projects/introduction-project-management,Video Course + Certificate,Coursera
RES0195,R014,2,"Project Management, Agile, Scrum",https://www.coursera.org/specializations/agile-leadership-change-management,Video Course + Certificate,Coursera
RES0196,R014,3,Risk Management,https://www.coursera.org/specializations/entrepreneurial-finance,Video Course + Certificate,Coursera
RES0197,R014,3,Risk Management,https://www.coursera.org/specializations/financialengineering,Video Course + Certificate,Coursera
RES0198,R014,3,Risk Management,https://www.coursera.org/specializations/financial-management,Video Course + Certificate,Coursera
RES0199,R014,4,Risk Management,https://www.coursera.org/learn/-security-principles,Video Course + Certificate,Coursera
RES0200,R014,4,"Jira, Agile",https://www.coursera.org/learn/agile-atlassian-jira,Video Course + Certificate,Coursera
RES0201,R014,4,"Agile, Scrum",https://www.coursera.org/learn/agile-development-and-scrum,Video Course + Certificate,Coursera
RES0202,R014,5,"Project Management, Jira",https://www.coursera.org/professional-certificates/advanced-project-management-asana-jira-confluence-and-ai,Video Course + Certificate,Coursera
RES0203,R014,5,"Risk Management, Agile, Scrum",https://www.coursera.org/professional-certificates/ibm-it-scrum-master,Video Course + Certificate,Coursera
RES0204,R014,5,Project Management,https://www.coursera.org/professional-certificates/microsoft-project-management,Video Course + Certificate,Coursera
RES0205,R015,1,3D Modeling,https://www.coursera.org/specializations/beginner-after-effects-logo-animation,Video Course + Certificate,Coursera
RES0206,R015,1,C++,https://www.coursera.org/specializations/coding-for-everyone,Video Course + Certificate,Coursera
RES0207,R015,1,C++,https://www.coursera.org/specializations/hands-on-cpp,Video Course + Certificate,Coursera
RES0208,R015,2,C#,https://www.udemy.com/masteringaspnetmvc5/,Video Course + Certificate,Udemy
RES0209,R015,2,C#,https://www.udemy.com/masterwcf/,Video Course + Certificate,Udemy
RES0210,R015,2,C#,https://www.udemy.com/sharepoint2013development/,Video Course + Certificate,Udemy
RES0211,R015,3,C#,https://www.coursera.org/specializations/dot-net-fullstack,Video Course + Certificate,Coursera
RES0212,R015,3,"Unreal Engine, C++",https://www.coursera.org/specializations/cplusplusunrealgamedevelopment,Video Course + Certificate,Coursera
RES0213,R015,3,C++,https://www.coursera.org/specializations/gpu-programming,Video Course + Certificate,Coursera
RES0214,R015,4,3D Modeling,https://www.coursera.org/learn/3d-character-design-workshop-with-nomad-sculpt,Video Course + Certificate,Coursera
RES0215,R015,4,3D Modeling,https://www.coursera.org/learn/3d-game-prop-production,Video Course + Certificate,Coursera
RES0216,R015,4,3D Modeling,https://www.coursera.org/learn/become-a-3d-animator-build-your-dream-animation-career,Video Course + Certificate,Coursera
RES0217,R015,5,3D Modeling,https://www.coursera.org/learn/nomad-sculpt-3d-stylized-female-pt-1-head-anatomy,Video Course + Certificate,Coursera
RES0218,R015,5,Unity,https://www.coursera.org/learn/pixel-art-video-games,Video Course + Certificate,Coursera
RES0219,R015,5,3D Modeling,https://www.coursera.org/learn/premium-logo-animation-in-adobe-after-effects-3d--fx,Video Course + Certificate,Coursera
RES0220,R016,1,Python,https://www.coursera.org/learn/ai-code-generation-everyone,Video Course + Certificate,Coursera
RES0221,R016,1,Cryptography,https://www.coursera.org/learn/assets-threats-and-vulnerabilities,Video Course + Certificate,Coursera
RES0222,R016,1,Python,https://www.coursera.org/learn/bioinformatics,Video Course + Certificate,Coursera
RES0223,R016,2,Python,https://www.dicoding.com/academies/620-belajar-pemrograman-prosedural-dengan-python,Interactive Course + Certificate,Dicoding
RES0224,R016,2,Python,https://www.dicoding.com/academies/743-belajar-back-end-pemula-dengan-python,Interactive Course + Certificate,Dicoding
RES0225,R016,2,Python,https://www.dicoding.com/academies/788-belajar-fundamental-back-end-dengan-python,Interactive Course + Certificate,Dicoding
RES0226,R016,3,Python,https://www.coursera.org/specializations/data-science-python,Video Course + Certificate,Coursera
RES0227,R016,3,"Solidity, Ethereum",https://www.coursera.org/specializations/blockchain,Video Course + Certificate,Coursera
RES0228,R016,3,Java,https://www.coursera.org/specializations/core-java,Video Course + Certificate,Coursera
RES0229,R016,4,Python,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0230,R016,4,Python,https://www.coursera.org/learn/ai-python-for-beginners,Video Course + Certificate,Coursera
RES0231,R016,4,Python,https://www.coursera.org/learn/aprendiendo-programar-python,Video Course + Certificate,Coursera
RES0232,R016,5,Python,https://www.coursera.org/learn/python-network-data,Video Course + Certificate,Coursera
RES0233,R016,5,Python,https://www.coursera.org/learn/python-operating-system,Video Course + Certificate,Coursera
RES0234,R016,5,Python,https://www.coursera.org/learn/python-project-for-ai-application-development,Video Course + Certificate,Coursera
RES0235,R017,1,Python,https://www.coursera.org/learn/ai-code-generation-everyone,Video Course + Certificate,Coursera
RES0236,R017,1,Linux,https://www.coursera.org/learn/asistencia-tecnica,Video Course + Certificate,Coursera
RES0237,R017,1,Python,https://www.coursera.org/learn/bioinformatics,Video Course + Certificate,Coursera
RES0238,R017,2,"Python, Ansible",https://www.coursera.org/specializations/networkautomation,Video Course + Certificate,Coursera
RES0239,R017,2,Linux,https://www.coursera.org/specializations/pearson-linux-foundation-certified-system-administrator-lfcs,Video Course + Certificate,Coursera
RES0240,R017,2,Python,https://www.coursera.org/specializations/python-bash-sql-data-engineering-duke,Video Course + Certificate,Coursera
RES0241,R017,3,Python,https://www.coursera.org/specializations/data-science-python,Video Course + Certificate,Coursera
RES0242,R017,3,Python,https://www.coursera.org/learn/python-for-data-visualization,Video Course + Certificate,Coursera
RES0243,R017,3,Aws,https://www.coursera.org/specializations/aws-devops,Video Course + Certificate,Coursera
RES0244,R017,4,Python,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0245,R017,4,Python,https://www.coursera.org/learn/ai-python-for-beginners,Video Course + Certificate,Coursera
RES0246,R017,4,Python,https://www.coursera.org/learn/aprendiendo-programar-python,Video Course + Certificate,Coursera
RES0247,R017,5,"Linux, Python",https://www.coursera.org/learn/python-operating-system,Video Course + Certificate,Coursera
RES0248,R017,5,Python,https://www.coursera.org/learn/python-project-for-ai-application-development,Video Course + Certificate,Coursera
RES0249,R017,5,Python,https://www.coursera.org/learn/regression-analysis-simplify-complex-data-relationships,Video Course + Certificate,Coursera
RES0250,R018,1,Python,https://www.coursera.org/learn/ai-code-generation-everyone,Video Course + Certificate,Coursera
RES0251,R018,1,Python,https://www.coursera.org/learn/bioinformatics,Video Course + Certificate,Coursera
