course_title,course_organization,course_certificate_type,course_rating,course_review_num,course_time,course_difficulty,course_students_enrolled,course_url,course_skills,course_tools,course_summary,course_description
AWS Cloud Practitioner (CLF-C02),Not Specified,Professional Certificate,,0,2 Weeks,Advanced,4,https://www.coursera.org/learn/aws-cloud-practitioner-clf-c02,Artificial Intelligence and Machine Learning (AI/ML); Cloud Computing; Public Cloud; Cloud Infrastructure; Cloud Security; Cloud Management,Amazon S3; Amazon Web Services; Amazon Elastic Compute Cloud; Cloud Storage; AWS Identity and Access Management (IAM),Not Specified,Not Specified
AWS Cloud Practitioner Essentials,Not Specified,Professional Certificate,,789,6 Months,Advanced,248,https://www.coursera.org/learn/aws-cloud-practitioner-essentials,Data Storage; Cloud Computing; Scalability; Databases; Cloud Security; Data Migration; Public Cloud; Serverless Computing; Cloud Infrastructure; Network Architecture; Cloud Computing Architecture,Amazon Web Services; Amazon Elastic Compute Cloud; Amazon S3; Amazon DynamoDB,Not Specified,Not Specified
AWS Cloud Technical Essentials,Not Specified,Professional Certificate,,919,2 Weeks,Advanced,0,https://www.coursera.org/learn/aws-cloud-technical-essentials,Cloud Computing; Databases; Cloud Security; Cloud Computing Architecture; Scalability; Cloud Infrastructure; Serverless Computing; Containerization; General Networking,Amazon DynamoDB; Virtual Networking; Cloud Storage; AWS Identity and Access Management (IAM); Amazon Web Services; Amazon CloudWatch; Amazon Elastic Compute Cloud; Amazon S3,Not Specified,Not Specified
Azure AI and Healthcare Cloud Fundamentals,Not Specified,Professional Certificate,,0,3 Weeks,Advanced,0,https://www.coursera.org/learn/azure-ai-and-healthcare-cloud-fundamentals,Not Specified,Not Specified,Not Specified,Not Specified
BigQuery for Data Analysts,Not Specified,Professional Certificate,,80,1 Weeks,Advanced,4,https://www.coursera.org/learn/bigquery-for-data-analysts,Not Specified,Not Specified,Not Specified,Not Specified
Operating Systems,Not Specified,Professional Certificate,,11,6 Weeks,Advanced,67,https://www.coursera.org/learn/bits-operating-systems,Not Specified,Not Specified,Not Specified,Not Specified
Breach From Within: Introduction to Insider Risk and Threats,Not Specified,Professional Certificate,,0,3 Hours,Advanced,0,https://www.coursera.org/learn/breach-from-within-introduction-to-insider-risk-threats,Not Specified,Not Specified,Not Specified,Not Specified
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Not Specified,Professional Certificate,,834,4 Weeks,Advanced,264,https://www.coursera.org/learn/build-a-computer,Not Specified,Not Specified,Not Specified,Not Specified
Build AI Agents using MCP,Not Specified,Professional Certificate,,30,1 Weeks,Advanced,47,https://www.coursera.org/learn/build-ai-agents-using-mcp,Authorization (Computing); AI Security; Responsible AI; VPN Clients,JSON,Not Specified,Not Specified
Building Your First AI Agent with OpenAI,Not Specified,Professional Certificate,,0,2 Weeks,Advanced,0,https://www.coursera.org/learn/building-your-first-ai-agent-with-openai,Agentic systems; Systems Integration; Tool Calling; Software Architecture; Application Security; Real Time Data,AI Workflows; Application Programming Interface (API); OpenAI API; Prompt Engineering,Not Specified,Not Specified
C++ Programming Fundamentals,Not Specified,Professional Certificate,,14,4 Weeks,Advanced,2,https://www.coursera.org/learn/c-plus-plus-programming-fundamentals,Not Specified,Not Specified,Not Specified,Not Specified
ChatGPT Advanced Data Analysis,Not Specified,Professional Certificate,,970,1 Weeks,Advanced,1,https://www.coursera.org/learn/chatgpt-advanced-data-analysis,Data Processing; Information Management; Automation; Document Management; Artificial Intelligence; Problem Solving; Data Presentation; AI Enablement; Creativity; Data Analysis,Prompt Engineering; ChatGPT,Not Specified,Not Specified
Introdução à Ciência da Computação com Python Parte 1,Not Specified,Professional Certificate,,476,4 Weeks,Advanced,278,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,Computer Science; Algorithms; Data Structures; Computational Thinking; Computer Programming; Program Development; Debugging,Python Programming; Integrated Development Environments,Not Specified,Not Specified
Introdução à Ciência da Computação com Python Parte 2,Not Specified,Professional Certificate,,571,3 Weeks,Advanced,278,https://www.coursera.org/learn/ciencia-computacao-python-conceitos-2,Not Specified,Not Specified,Not Specified,Not Specified
Claude AI and Prompting for Everyone,Not Specified,Professional Certificate,,0,8 Hours,Advanced,0,https://www.coursera.org/learn/claude-ai-and-prompting-for-everyone,Artificial Intelligence; Prompt Patterns; Prompt Engineering Tools,Prompt Engineering; Generative AI,Not Specified,Not Specified
Claude Code: Software Engineering with Generative AI Agents,Not Specified,Professional Certificate,,123,5 Hours,Advanced,1,https://www.coursera.org/learn/claude-code,Not Specified,Not Specified,Not Specified,Not Specified
Claude Code in Action,Not Specified,Professional Certificate,,50,3 Hours,Advanced,27,https://www.coursera.org/learn/claude-code-in-action,Context Management; LLM Application; Tool Calling; Software Engineering; Automation; Software Development Tools; Software Development; Computer Programming Tools; Code Review; Generative AI Agents,Claude Code; Command-Line Interface; GitHub,Not Specified,Not Specified
COBOL Programming with VSCode,Not Specified,Professional Certificate,,192,2 Weeks,Advanced,0,https://www.coursera.org/learn/cobol-programming-vscode,Business Logic; File I/O; Computer Programming; Computer Programming Tools; Mainframe Computing; Data Management; Programming Principles; Debugging; Maintainability,COBOL (Programming Language); Integrated Development Environments,Not Specified,Not Specified
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Not Specified,Professional Certificate,,621,2 Weeks,Advanced,416,https://www.coursera.org/learn/competencias-digitales-ofimatica,Information Technology; Computer Literacy; Spreadsheet Software; Data Entry; digital literacy; Document Management,Microsoft Word; Microsoft Excel; Graphical Tools; Microsoft PowerPoint; Microsoft Office,Not Specified,Not Specified
CompTIA Network+,Not Specified,Professional Certificate,,0,1 Weeks,Advanced,0,https://www.coursera.org/learn/comptia-network,Not Specified,Not Specified,Not Specified,Not Specified
Computational Thinking for Problem Solving,Not Specified,Professional Certificate,,431,2 Weeks,Advanced,133,https://www.coursera.org/learn/computational-thinking-problem-solving,Computational Thinking; Algorithms; Object Oriented Programming (OOP); Problem Solving; Computer Hardware; Program Development; Debugging; Analysis; Pseudocode; Data Structures; Computer Programming,Python Programming,Not Specified,Not Specified
The Bits and Bytes of Computer Networking,Not Specified,Professional Certificate,,506,2 Weeks,Advanced,16,https://www.coursera.org/learn/computer-networking,Not Specified,Not Specified,Not Specified,Not Specified
Conduct UX Research and Test Early Concepts,Not Specified,Professional Certificate,,38,2 Weeks,Advanced,16,https://www.coursera.org/learn/conduct-ux-research,Not Specified,Not Specified,Not Specified,Not Specified
Core 1: Hardware and Network Troubleshooting,Not Specified,Professional Certificate,,45,2 Weeks,Advanced,1,https://www.coursera.org/learn/core1-hardware-and-network-troubleshooting,Not Specified,Not Specified,Not Specified,Not Specified
Cryptography I,Not Specified,Professional Certificate,,475,6 Weeks,Advanced,540,https://www.coursera.org/learn/crypto,Not Specified,Not Specified,Not Specified,Not Specified
Customer Service Fundamentals,Not Specified,Professional Certificate,,914,1 Weeks,Advanced,0,https://www.coursera.org/learn/customer-service-fundamentals,Not Specified,Not Specified,Not Specified,Not Specified
Cyber Security Fundamentals,Not Specified,Professional Certificate,,316,2 Weeks,Advanced,39,https://www.coursera.org/learn/cyber-security-fundamentals,Information Assurance; Cyber Security Policies; Cryptography; Cyber Risk; Key Management; Cybersecurity; Incident Response; Encryption; Cyber Attacks; Security Management,Not Specified,Not Specified,Not Specified
Cybersecurity Awareness Essentials for Employees,Not Specified,Professional Certificate,,45,2 Hours,Advanced,415,https://www.coursera.org/learn/cybersecurity-awareness-essentials-for-employees,Not Specified,Not Specified,Not Specified,Not Specified
Build Data Lakes and Data Warehouses on Google Cloud,Not Specified,Professional Certificate,,918,1 Weeks,Advanced,4,https://www.coursera.org/learn/data-lakes-data-warehouses-gcp,Not Specified,Not Specified,Not Specified,Not Specified
"Data Modeling, Transformation, and Serving",Not Specified,Professional Certificate,,22,3 Weeks,Advanced,45,https://www.coursera.org/learn/data-modeling-transformation-serving,Data Pipelines; Data Preprocessing; Feature Engineering; Real Time Data; Star Schema; Data Modeling; Data Transformation; Data Access; Machine Learning; Data Warehousing,Apache Hadoop; Apache Spark,Not Specified,Not Specified
Data Storage and Queries,Not Specified,Professional Certificate,,15,2 Weeks,Advanced,45,https://www.coursera.org/learn/data-storage-and-queries,Databases; SQL; Performance Tuning; Data Pipelines; Data Architecture; Data Transformation; File Systems; Data Storage; Data Warehousing,Vector Databases; Apache Spark; Cloud Storage; Apache Kafka; Data Lakes; Amazon Web Services; Database Systems; Query Languages; Amazon S3; Database Management Systems,Not Specified,Not Specified
"Design, Develop, and Deploy Multi-Agent Systems with CrewAI",Not Specified,Professional Certificate,,20,2 Weeks,Advanced,33,https://www.coursera.org/learn/design-develop-and-deploy-multi-agent-systems-with-crewai,Not Specified,Not Specified,Not Specified,Not Specified
Sound the Alarm: Detection and Response,Not Specified,Professional Certificate,,353,2 Weeks,Advanced,0,https://www.coursera.org/learn/detection-and-response,Not Specified,Not Specified,Not Specified,Not Specified
Develop Generative AI Applications: Get Started,Not Specified,Professional Certificate,,109,1 Weeks,Advanced,73,https://www.coursera.org/learn/develop-generative-ai-applications-get-started,Software Development; Natural Language Processing; LLM Application; Model Evaluation,Prompt Engineering; LangChain; Flask (Web Framework); Generative AI,Not Specified,Not Specified
Digital Literacy: Introduction to Using Computers,Not Specified,Professional Certificate,,5,3 Hours,Advanced,0,https://www.coursera.org/learn/digital-literacy-introduction-to-using-computers,Safety and Security; Computer Hardware; Computer Security Awareness Training; File Management; Email Security; Computer Literacy; digital literacy; Information Management; Spreadsheet Software,Microsoft Office,Not Specified,Not Specified
Digital Transformation with Google Cloud,Not Specified,Professional Certificate,,617,2 Hours,Advanced,4,https://www.coursera.org/learn/digital-transformation-google-cloud,Not Specified,Not Specified,Not Specified,Not Specified
Effective Programming in Scala,Not Specified,Professional Certificate,,96,7 Weeks,Advanced,31,https://www.coursera.org/learn/effective-scala,Not Specified,Not Specified,Not Specified,Not Specified
Intro to Siemens NX: Engineering Essentials and Part Design,Not Specified,Professional Certificate,,72,2 Weeks,Advanced,49,https://www.coursera.org/learn/engineering-essentials-with-nx,Not Specified,Not Specified,Not Specified,Not Specified
Ethical Hacking Essentials (EHE),Not Specified,Professional Certificate,,611,3 Weeks,Advanced,102,https://www.coursera.org/learn/ethical-hacking-essentials-ehe,Not Specified,Not Specified,Not Specified,Not Specified
"Everyday Excel, Part 1",Not Specified,Professional Certificate,,687,3 Weeks,Advanced,482,https://www.coursera.org/learn/everyday-excel-part-1,Data Management; Data Visualization; Problem Solving; Data Cleansing; Spreadsheet Software; Data Analysis Expressions (DAX); Data Validation; Excel Formulas; Data Integrity,Microsoft Excel; Productivity Software,Not Specified,Not Specified
Figma AI: Productivity Tools for Designers,Not Specified,Professional Certificate,,10,3 Hours,Advanced,13,https://www.coursera.org/learn/figma-ai-productivity-tools-for-designers,Not Specified,Not Specified,Not Specified,Not Specified
Foundations of AI and Machine Learning,Not Specified,Professional Certificate,,257,4 Weeks,Advanced,2,https://www.coursera.org/learn/foundations-of-ai-and-machine-learning,Not Specified,Not Specified,Not Specified,Not Specified
Foundations of Cybersecurity,Not Specified,Professional Certificate,,205,1 Weeks,Advanced,0,https://www.coursera.org/learn/foundations-of-cybersecurity,Not Specified,Not Specified,Not Specified,Not Specified
"Foundations of Governance, Risk, and Compliance",Not Specified,Professional Certificate,,0,4 Hours,Advanced,122,https://www.coursera.org/learn/foundations-of-governance-risk-and-compliance,Not Specified,Not Specified,Not Specified,Not Specified
Foundations of Software Testing and Validation,Not Specified,Professional Certificate,,126,6 Hours,Advanced,44,https://www.coursera.org/learn/foundations-of-software-testing-and-validation,Not Specified,Not Specified,For Individuals; For Businesses; For Universities; For Governments; Browse; Information Technology; Support and Operations,Not Specified
Foundations of User Experience (UX) Design,Not Specified,Professional Certificate,,545,1 Weeks,Advanced,16,https://www.coursera.org/learn/foundations-user-experience-design,Not Specified,Not Specified,Not Specified,Not Specified
Fundamentals of Building AI Agents,Not Specified,Professional Certificate,,26,1 Weeks,Advanced,2,https://www.coursera.org/learn/fundamentals-of-building-ai-agents,Application Development; Agentic systems; Software Development; LLM Application; Generative AI Agents; Artificial Intelligence and Machine Learning (AI/ML); Tool Calling,LangChain; AI Workflows,Not Specified,Not Specified
Fundamentals of Data Governance,Not Specified,Professional Certificate,,66,4 Hours,Advanced,159,https://www.coursera.org/learn/fundamentals-of-data-governance,Not Specified,Not Specified,Not Specified,Not Specified
Fundamentals of UI/UX Design,Not Specified,Professional Certificate,,488,1 Weeks,Advanced,0,https://www.coursera.org/learn/fundamentals-of-uiux-design,Not Specified,Not Specified,Not Specified,Not Specified
Gamification,Not Specified,Professional Certificate,,448,2 Weeks,Advanced,189,https://www.coursera.org/learn/gamification,Not Specified,Not Specified,Not Specified,Not Specified
Office of the CISO Institute: Cybersecurity Essentials,Not Specified,Professional Certificate,,88,9 Hours,Advanced,12,https://www.coursera.org/learn/gcat-cybersecurity-essentials,Not Specified,Not Specified,Not Specified,Not Specified
