url,title,rating,learning_path,topic,level,duration,students_enrolled,description,learning_tools
https://www.dicoding.com/academies/387-belajar-jaringan-komputer-untuk-pemula,Belajar Jaringan Komputer untuk Pemula,4.90,DevOps Engineer,Cloud Computing,Level: Pemula,25 Jam Belajar,,+1 lainnya,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Web Browser (Google Chrome atau Mozilla Firefox)
https://www.dicoding.com/academies/382-belajar-dasar-dasar-devops,Belajar Dasar-Dasar DevOps,4.87,DevOps Engineer,Cloud Computing,Level: Dasar,15 Jam Belajar,,+1 lainnya,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Web Browser (Google Chrome atau Mozilla Firefox)
https://www.dicoding.com/academies/352-belajar-pengembangan-aplikasi-android-intermediate,Belajar Pengembangan Aplikasi Android Intermediate,4.84,Android,Android,Level: Mahir,150 Jam Belajar,,Level: Mahir,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Core i3 (Rekomendasi Core i5 ke atas) | Tools yang dibutuhkan untuk belajar: | Android Studio | Cara instalasi akan diajarkan pada kelas ini.
https://www.dicoding.com/academies/342-belajar-membuat-aplikasi-back-end-untuk-pemula-dengan-google-cloud,Belajar Membuat Aplikasi Back-End untuk Pemula dengan Google Cloud,4.87,Google Cloud Professional,Full Stack,Level: Pemula,45 Jam Belajar,,Level: Pemula,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Celeron (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Teks Editor (VSCode)
https://www.dicoding.com/academies/337-belajar-dasar-google-cloud,Belajar Dasar Google Cloud,4.87,"Google Cloud Professional ,",Cloud Computing,Level: Dasar,12 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Core i3 (Rekomendasi Core i5 ke atas) 64-bit | Tools yang dibutuhkan untuk belajar: | Web Browser (Google Chrome atau Mozilla Firefox)
https://www.dicoding.com/academies/335-belajar-dasar-ux-design,Belajar Dasar UX Design,4.89,,UI/UX,Level: Dasar,36 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas)
https://www.dicoding.com/academies/332-menjadi-google-cloud-architect,Menjadi Google Cloud Architect,4.88,"Google Cloud Professional ,",Cloud Computing,Level: Mahir,35 Jam Belajar,,Level: Mahir,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Celeron (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Web Browser (Google Chrome atau Mozilla Firefox)
https://www.dicoding.com/academies/480-belajar-pengembangan-aplikasi-flutter-intermediate,Belajar Pengembangan Aplikasi Flutter Intermediate,4.86,Multi-Platform App,Flutter,Level: Mahir,80 Jam Belajar,,Level: Mahir,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Flutter SDK
https://www.dicoding.com/academies/445-belajar-membuat-aplikasi-android-dengan-jetpack-compose,Belajar Membuat Aplikasi Android dengan Jetpack Compose,4.86,,Android,Level: Mahir,50 Jam Belajar,,Level: Mahir,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Core i3 (Rekomendasi Core i5 ke atas) | Tools yang dibutuhkan untuk belajar: | Android Studio
https://www.dicoding.com/academies/443-machine-learning-operations-mlops,Machine Learning Operations (MLOps),4.72,MLOps Engineer,AI,Level: Mahir,80 Jam Belajar,,+2 lainnya,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Google Colaboratory
https://www.dicoding.com/academies/433-belajar-membangun-arsitektur-microservices,Belajar Membangun Arsitektur Microservices,4.85,DevOps Engineer,Full Stack,Level: Mahir,60 Jam Belajar,,+1 lainnya,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Core i3 (Rekomendasi Core i5 ke atas) | Tools yang dibutuhkan untuk belajar: | Command Line (Terminal atau cmd)
https://www.dicoding.com/academies/418-menjadi-react-web-developer-expert,Menjadi React Web Developer Expert,4.90,React,Full Stack,Level: Mahir,70 Jam Belajar,,+1 lainnya,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Node.js versi LTS terbaru
